Content,RT,R1P,LR,EQE,PR,VR,DR,SSR,TR,NRCA,CR,UR,UV,CE,Label
很好看，质量也很对得起这个价格，24寸的刚刚可以短途回家使用，满意,1,0,33,0,1,1,-1,0,0,0,6,335,1,0.999872974,0
发货很快，包装的也很好,1,0,11,0,0,0,-1,0,0,0,0,354,1,0.943064731,0
搭配建议：任何衣服都能搭绝了面料材质：面料挺软的可能会容易脏但是这花纹脏了也看不出来呀哈哈哈哈哈哈哈整体评价：买它就对了,1,0,60,0,1,0,-1,0,0,0,6,635,1,0.225670074,0
超出预期，质量很好，价格实惠，满意,1,0,17,0,0,0,-1,0,0,0,0,809,1,0.981318518,0
还不错，满意！,1,0,7,1,0,0,-1,0,0,0,1,913,0,0.942087417,0
漂亮又喜欢质量挺好,1,0,9,0,0,0,-1,0,0,0,0,724,1,0.986502374,0
用着方便，满意。,1,0,8,0,0,0,-1,0,0,0,0,266,1,0.705346985,0
能正常使用，挺好,1,0,8,0,0,0,-1,0,0,0,0,514,1,0.828424622,0
包包不错，挺大的，可以装下我的书，挺结实的,1,1,21,0,1,0,-1,0,0,0,6,46,1,0.967575984,0
充电挺快的，安一个充电桩在地下室，小区邻居反应说，很方便。,1,0,29,0,0,0,-1,0,0,0,0,420,1,0.470971379,0
用后再来,0,0,4,0,0,0,-1,0,0,0,0,18,0,0.387517887,0
质量满分。嘻嘻容量好大呀。平时出门旅游可以带着。质量摸着蛮舒服的。喜欢的下手！！,1,0,40,2,1,1,1,0,0,0,6,629,0,0.997628784,0
包包挺好的，做工挺精致的,1,0,12,0,1,0,0,0,0,0,6,25,1,0.993416018,0
很美味，糖水也甜，还会回购,1,0,13,0,0,0,-1,0,0,1,3,335,1,0.248897297,0
尺寸大小：发货即时，造型可以，小巧玲珑,1,0,19,0,1,0,-1,0,0,0,6,977,0,0.995799309,0
送朋友的很好看,1,0,7,0,0,0,-1,0,0,0,3,478,1,0.856920236,0
送朋友的很不错,1,0,7,0,0,0,-1,0,0,0,3,5,1,0.93784199,0
质量确实不错，朋友安利我的，信奈了。,1,1,18,0,0,0,-1,0,0,0,0,119,1,0.980181243,0
版型特别好看，穿上太帅啦，颜色也正，面料质量挺好的！,1,0,26,1,0,0,-1,0,0,0,1,154,1,0.91610556,0
超级可爱,1,0,4,0,1,0,-1,0,0,0,1,708,1,0.754407568,0
东西很好很不错，大品牌值得信赖,1,0,15,0,0,0,-1,0,0,0,0,524,0,0.999842225,0
很好??匹配,1,0,6,2,0,0,-1,0,0,0,0,467,0,0.934565172,0
设备质量很好，发货很快，卖家服务也很好,1,0,19,0,0,0,-1,0,0,0,0,346,1,0.969769194,0
不错呦，很可爱,1,0,7,0,1,0,-1,0,0,0,3,873,1,0.591917226,0
外形外观：非常好噢,1,0,9,0,0,0,-1,0,0,0,0,275,1,0.998672627,0
包包质量很好，而且很时尚，手感很棒！,1,0,18,1,1,0,-1,0,0,0,6,448,1,0.996857666,0
外套收到了！款式很喜欢很百搭，面料穿着很舒服！物流也很快！,1,0,29,3,0,0,-1,0,0,0,1,238,1,0.989621525,0
弹性超大，料子很舒服，百分百满意,1,0,16,0,0,0,-1,0,0,0,1,416,1,0.994398159,0
